product_name,price,source,product_url,image_url
HP 200 Wireless Mouse (Black),Rs. 630,amazon.in,https://www.amazon.in/HP-200-Wireless-Mouse-Black/dp/B06Y34RQ6Y/ref=sr_1_32?ie=UTF8&qid=1532928044&sr=8-32&keywords=hp,https://images-eu.ssl-images-amazon.com/images/I/41aTyclfUUL._AC_US218_.jpg
HP 24ES 23.8-inch LED Monitor (Black),"Rs. 13,475",amazon.in,https://www.amazon.in/HP-24ES-23-8-inch-Monitor-Black/dp/B01H1Q8TQC/ref=sr_1_33?ie=UTF8&qid=1532928044&sr=8-33&keywords=hp,https://images-eu.ssl-images-amazon.com/images/I/41B-Gp2yaJL._AC_US218_.jpg
HP S6500 Wireless Mini Speakers (Black),"Rs. 1,429",amazon.in,https://www.amazon.in/HP-S6500-Wireless-Speakers-Black/dp/B019ZEQTCO/ref=sr_1_34?ie=UTF8&qid=1532928044&sr=8-34&keywords=hp,https://images-eu.ssl-images-amazon.com/images/I/413dMokceIL._AC_US218_.jpg
HP 14-bf119tu 14-inch FHD Laptop (8th Gen Intel Core i5-8250U/8GB DDR4/1TB HDD/USB-C/Win 10/Intel UHD Graphics/MS Office H&S 2016) Silk Gold,"Rs. 63,990",amazon.in,/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_2?ie=UTF8&adId=A06693073QKTIQ5NJUJGB&url=https%3A%2F%2Fwww.amazon.in%2FHP-14-bf119tu-Laptop-i5-8250U-Graphics%2Fdp%2FB07DQPD4PH%2Fref%3Dsr_1_35_sspa%3Fie%3DUTF8%26qid%3D1532928044%26sr%3D8-35-spons%26keywords%3Dhp%26psc%3D1&qualifier=1532928044&id=1861721035519119&widgetName=sp_btf,https://images-eu.ssl-images-amazon.com/images/I/31P0tOw0dOL._AC_US218_.jpg
Lenovo 81A400GPIN 11.6-inch Laptop (Intel Celeron N3350/4GB/500 GB/Windows 10 Home/Integrated Graphics),"Rs. 22,790",amazon.in,/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A00534871NAA7W0PPHRH5&url=https%3A%2F%2Fwww.amazon.in%2FLenovo-81A400GPIN-11-6-inch-Integrated-Graphics%2Fdp%2FB07B46ZF6P%2Fref%3Dsr_1_36_sspa%3Fie%3DUTF8%26qid%3D1532928044%26sr%3D8-36-spons%26keywords%3Dhp%26psc%3D1&qualifier=1532928044&id=1861721035519119&widgetName=sp_btf,https://images-eu.ssl-images-amazon.com/images/I/41m9kE1YTXL._AC_US218_.jpg
"Lenovo 80XU004VIN 14.0-inch Laptop (A6-9220/4GB/500GB/Windows 10 Home/Integrated Graphics), Denim Blue","Rs. 21,990",amazon.in,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A008557911I7QL6U46H5U&url=https%3A%2F%2Fwww.amazon.in%2FLenovo-80XU004VIN-14-0-inch-Integrated-Graphics%2Fdp%2FB079YSRWRY%2Fref%3Dsr_1_33_sspa%3Fie%3DUTF8%26qid%3D1532928047%26sr%3D8-33-spons%26keywords%3Dhp%26psc%3D1&qualifier=1532928047&id=8996467529737782&widgetName=sp_atf_next,https://images-eu.ssl-images-amazon.com/images/I/41OdFRC0OEL._AC_US218_.jpg
"Lenovo 80XG008MIN 14.0-inch Laptop (I3-6006U/4GB/1TB/Windows 10 Home/Integrated Graphics), Black Comes Without CD Drive","Rs. 27,990",amazon.in,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_2?ie=UTF8&adId=A00945073QPE9YSJKPZSV&url=https%3A%2F%2Fwww.amazon.in%2FLenovo-80XG008MIN-14-0-inch-I3-6006U-Integrated%2Fdp%2FB079Z2CN9B%2Fref%3Dsr_1_34_sspa%3Fie%3DUTF8%26qid%3D1532928047%26sr%3D8-34-spons%26keywords%3Dhp%26psc%3D1&qualifier=1532928047&id=8996467529737782&widgetName=sp_atf_next,https://images-eu.ssl-images-amazon.com/images/I/41mdjM5LGpL._AC_US218_.jpg
HP LaserJet Pro M1136 Multifunction Monochrome Laser Printer (Black),"Rs. 11,799",amazon.in,https://www.amazon.in/HP-LaserJet-M1136-Multifunction-Monochrome/dp/B008HDF9NU/ref=sr_1_35?ie=UTF8&qid=1532928047&sr=8-35&keywords=hp,https://images-eu.ssl-images-amazon.com/images/I/410CqmpISLL._AC_US218_.jpg
HP 802 Small Ink Cartridge - Tri-color,Rs. 849,amazon.in,https://www.amazon.in/HP-802-Small-Ink-Cartridge/dp/B0056C5MDC/ref=sr_1_36?ie=UTF8&qid=1532928047&sr=8-36&keywords=hp,https://images-eu.ssl-images-amazon.com/images/I/51xpK4X5jFL._AC_US218_.jpg
"HP Notebook -14-bs730tu 14-inch Laptop (Intel Core i3-7020U/4GB/1TB/Windos 10/Integrated Graphics), Smoke Gray","Rs. 30,999",amazon.in,https://www.amazon.in/HP-Notebook-14-bs730tu-i3-7020U-Integrated/dp/B07DR61XLN/ref=sr_1_37?ie=UTF8&qid=1532928047&sr=8-37&keywords=hp,https://images-eu.ssl-images-amazon.com/images/I/41EVRG3mRAL._AC_US218_.jpg
HP 46 Ink Cartridge (Black),Rs. 740.05,amazon.in,https://www.amazon.in/HP-46-Ink-Cartridge-Black/dp/B009L1US88/ref=sr_1_38?ie=UTF8&qid=1532928047&sr=8-38&keywords=hp,https://images-eu.ssl-images-amazon.com/images/I/51o8sIcoPWL._AC_US218_.jpg
HP DeskJet 2132 All-in-One Inkjet Colour Printer,"Rs. 3,099",amazon.in,https://www.amazon.in/HP-DeskJet-2132-Inkjet-Printer/dp/B011UT3L5A/ref=sr_1_39?ie=UTF8&qid=1532928047&sr=8-39&keywords=hp,https://images-eu.ssl-images-amazon.com/images/I/41rKXOz2rqL._AC_US218_.jpg
