product_name,price,source,product_url,image_url
"MoArmouz® USB 3.1 Type C Hub for Macbook Pro 2016/2017 Touch Bar and without Touch Bar, MacBook 12-Inch, (USB 3.0) 5 in 1 Combo Hub [1 YEAR WARRANTY] Includes 1 SD memory port, 1 Microsd Memory Port Card Reader and Charging Port [GOLD]","Rs. 3,999",amazon.in,https://www.amazon.in/MoArmouz%C2%AE-Macbook-without-WARRANTY-Charging/dp/B01ERAS44W/ref=sr_1_29?ie=UTF8&qid=1532870468&sr=8-29&keywords=macbookair,https://images-eu.ssl-images-amazon.com/images/I/51kSX6pRAML._AC_US218_.jpg
"midkart Hard Shell Rubberized Finish Case Cover with Logo Cut, Silicon Keyboard and Dust Plugs for 13/13.3-inch MacBook Air A1369/A1466(Dark Blue)",Rs. 999,amazon.in,https://www.amazon.in/Midkart-MacBook-Rubberized-Silicon-Keyboard/dp/B06WLGTY61/ref=sr_1_30?ie=UTF8&qid=1532870468&sr=8-30&keywords=macbookair,https://images-eu.ssl-images-amazon.com/images/I/418IczFQ1cL._AC_US218_.jpg
Apple MPXY2HN/A 13.3-inch Laptop (Core i5/8GB/512GB/Mac OS/Integrated Graphics),"Rs. 1,64,100",amazon.in,https://www.amazon.in/Apple-MPXY2HN-13-3-inch-Integrated-Graphics/dp/B073QW7SL3/ref=sr_1_31?ie=UTF8&qid=1532870468&sr=8-31&keywords=macbookair,https://images-eu.ssl-images-amazon.com/images/I/4167-DaEyGL._AC_US218_.jpg
"Apple MD760HN/B 13-inch Laptop (Core i5/4GB/128GB/Mac OS X, Mavericks/Intel HD Graphics 5000/without Laptop Bag), Silver","Rs. 69,900",amazon.in,https://www.amazon.in/Apple-MD760HN-13-inch-Mavericks-Graphics/dp/B00KMPCCDG/ref=sr_1_32?ie=UTF8&qid=1532870468&sr=8-32&keywords=macbookair,https://images-eu.ssl-images-amazon.com/images/I/41yQncjGqtL._AC_US218_.jpg
Apple MacBook Air MJVG2HN/A 13-inch Laptop (Core i5/4GB/256GB/OS X Yosemite/Intel HD 6000),"Rs. 86,900",amazon.in,https://www.amazon.in/Apple-MacBook-MJVG2HN-13-inch-Yosemite/dp/B00VBI1JPA/ref=sr_1_33?ie=UTF8&qid=1532870468&sr=8-33&keywords=macbookair,https://images-eu.ssl-images-amazon.com/images/I/41mqeDjIyQL._AC_US218_.jpg
Apple MacBook Air MJVE2HN/A 13-inch Laptop (Core i5/4GB/128GB/OS X Yosemite/Intel HD 6000),"Rs. 72,900",amazon.in,https://www.amazon.in/Apple-MacBook-MJVE2HN-13-inch-Yosemite/dp/B00VBHQU78/ref=sr_1_34?ie=UTF8&qid=1532870468&sr=8-34&keywords=macbookair,https://images-eu.ssl-images-amazon.com/images/I/41LC4B5SISL._AC_US218_.jpg
"Portronics POR-835""My Buddy Lite"" Foldable Laptop Stand (Silver)","Rs. 1,060",amazon.in,/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_2?ie=UTF8&adId=A0204529KDIZ5CNBZ0NC&url=https%3A%2F%2Fwww.amazon.in%2FPortronics-POR-835-Foldable-Laptop-Silver%2Fdp%2FB0797TQFPB%2Fref%3Dsr_1_35_sspa%3Fie%3DUTF8%26qid%3D1532870468%26sr%3D8-35-spons%26keywords%3Dmacbookair%26psc%3D1&qualifier=1532870468&id=2017214861182187&widgetName=sp_btf,https://images-eu.ssl-images-amazon.com/images/I/41tMj0MJzML._AC_US218_.jpg
Gray Sleeve For MacBook Air 11 Inches by Robobull,"Rs. 2,999",amazon.in,/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A015593226VPIOSQXFM5D&url=https%3A%2F%2Fwww.amazon.in%2FGray-Sleeve-MacBook-Inches-Robobull%2Fdp%2FB07BWJ3JDL%2Fref%3Dsr_1_36_sspa%3Fie%3DUTF8%26qid%3D1532870468%26sr%3D8-36-spons%26keywords%3Dmacbookair%26psc%3D1&qualifier=1532870468&id=2017214861182187&widgetName=sp_btf,https://images-eu.ssl-images-amazon.com/images/I/41sIlwieIpL._AC_US218_.jpg
Gray Sleeve For MacBook Air 13 Inches by Robobull,"Rs. 2,999",amazon.in,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A01562442RMRSV6RXSGC3&url=https%3A%2F%2Fwww.amazon.in%2FGray-Sleeve-MacBook-Inches-Robobull%2Fdp%2FB07CDQPWL4%2Fref%3Dsr_1_33_sspa%3Fie%3DUTF8%26qid%3D1532870469%26sr%3D8-33-spons%26keywords%3Dmacbookair%26psc%3D1&qualifier=1532870469&id=5704254783811183&widgetName=sp_atf_next,https://images-eu.ssl-images-amazon.com/images/I/41sIlwieIpL._AC_US218_.jpg
Urban Tribe Dk. Grey Melange Laptop Messenger Bag (Smart Shell),Rs. 739,amazon.in,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_2?ie=UTF8&adId=A09027113FJ4F5G5F2PLJ&url=https%3A%2F%2Fwww.amazon.in%2FUrban-Tribe-Messenger-Smart-Shell%2Fdp%2FB074P4M8Q6%2Fref%3Dsr_1_34_sspa%3Fie%3DUTF8%26qid%3D1532870469%26sr%3D8-34-spons%26keywords%3Dmacbookair%26psc%3D1&qualifier=1532870469&id=5704254783811183&widgetName=sp_atf_next,https://images-eu.ssl-images-amazon.com/images/I/513-wVE3ngL._AC_US218_.jpg
