product_name,price,source,product_url,image_url
Apple MacBook 13 inch MD101 Negotiable,Rs. 32000,olx.in,https://www.olx.in/item/apple-macbook-13-inch-md101-negotiable-ID1miO9j.html#82a4aaf807,https://apollo-singapore.akamaized.net/v1/files/6ttfiag5g6yi2-IN/image;s=144x108;in_;slot=1;filename=6ttfiag5g6yi2-IN_.jpg
My phone apple x 64 GB 4 month old good condition,Rs. 45500,olx.in,https://www.olx.in/item/my-phone-apple-x-64-gb-4-month-old-good-condition-ID1miNZh.html#82a4aaf807,https://apollo-singapore.akamaized.net/v1/files/1a7pqymkp70d1-IN/image;s=144x108;in_;slot=1;filename=1a7pqymkp70d1-IN_.jpg
Three Apple Watch Straps Original along with watch charging stand,Rs. 2000,olx.in,https://www.olx.in/item/three-apple-watch-straps-original-along-with-watch-charging-stand-ID1miyRP.html#82a4aaf807,https://apollo-singapore.akamaized.net/v1/files/9vxamy4e7dd63-IN/image;s=144x108;in_;slot=1;filename=9vxamy4e7dd63-IN_.jpg
"Apple i pad 1 with original cover, charger,",Rs. 9500,olx.in,https://www.olx.in/item/apple-i-pad-1-with-original-cover-charger-ID1jlY8P.html#82a4aaf807,https://apollo-singapore.akamaized.net/v1/files/5w0ts4e8akrm1-IN/image;s=144x108;in_;slot=1;filename=5w0ts4e8akrm1-IN_.jpg
Original Apple 7 plus 32GB bill box charger all,Rs. 35999,olx.in,https://www.olx.in/item/original-apple-7-plus-32gb-bill-box-charger-all-ID1miNC7.html#82a4aaf807,https://apollo-singapore.akamaized.net/v1/files/mly795ar1dh42-IN/image;s=144x108;in_;slot=1;filename=mly795ar1dh42-IN_.jpg
Apple iPhone 6 32GB 3 month old 9 month warranty,Rs. 14000,olx.in,https://www.olx.in/item/apple-iphone-6-32gb-3-month-old-9-month-warranty-ID1miNAN.html#82a4aaf807,https://apollo-singapore.akamaized.net/v1/files/05l9t7qktwei2-IN/image;s=144x108;in_;slot=1;filename=05l9t7qktwei2-IN_.jpg
apple iphone 6 original headphone,Rs. 1000,olx.in,https://www.olx.in/item/apple-iphone-6-original-headphone-ID1miNuT.html#82a4aaf807,https://apollo-singapore.akamaized.net/v1/files/mxj9xp0iyy403-IN/image;s=144x108;in_;slot=1;filename=mxj9xp0iyy403-IN_.jpg
Original Apple X 64GB bill box charger all,Rs. 50000,olx.in,https://www.olx.in/item/original-apple-x-64gb-bill-box-charger-all-ID1miNan.html#82a4aaf807,https://apollo-singapore.akamaized.net/v1/files/wobrrr7kqdtp2-IN/image;s=144x108;in_;slot=1;filename=wobrrr7kqdtp2-IN_.jpg
Apple iMAC 27 3TB sealed in box,Rs. 32000,olx.in,https://www.olx.in/item/apple-imac-27-3tb-sealed-in-box-ID1miN67.html#82a4aaf807,https://apollo-singapore.akamaized.net/v1/files/z09jez5b0lor3-IN/image;s=144x108;in_;slot=1;filename=z09jez5b0lor3-IN_.jpg
I want to sell my apple 7 plus 128 GB check price,Rs. 37500,olx.in,https://www.olx.in/item/i-want-to-sell-my-apple-7-plus-128-gb-check-price-ID1miMTJ.html#82a4aaf807,https://apollo-singapore.akamaized.net/v1/files/2sct9z34p02p2-IN/image;s=144x108;in_;slot=1;filename=2sct9z34p02p2-IN_.jpg
Apple iPhone 6s 32gb 6 months old only,Rs. 17500,olx.in,https://www.olx.in/item/apple-iphone-6s-32gb-6-months-old-only-ID1miMSw.html#82a4aaf807,https://apollo-singapore.akamaized.net/v1/files/2lf0wfau3ohf1-IN/image;s=144x108;in_;slot=1;filename=2lf0wfau3ohf1-IN_.jpg
Apple 7 128 GB bill box charger earphone all,Rs. 42222,olx.in,https://www.olx.in/item/apple-7-128-gb-bill-box-charger-earphone-all-ID1miMNr.html#82a4aaf807,https://apollo-singapore.akamaized.net/v1/files/hjnzweb6swny-IN/image;s=144x108;in_;slot=1;filename=hjnzweb6swny-IN_.jpg
I want to sale my apple 7 plus 128gb jet black,Rs. 39500,olx.in,https://www.olx.in/item/i-want-to-sale-my-apple-7-plus-128gb-jet-black-ID1miMI7.html#82a4aaf807,https://apollo-singapore.akamaized.net/v1/files/lzhj9cmniy6x-IN/image;s=144x108;in_;slot=1;filename=lzhj9cmniy6x-IN_.jpg
"Apple iPad Air 2, 64gb about a year and a half",Rs. 30000,olx.in,https://www.olx.in/item/apple-ipad-air-2-64gb-about-a-year-and-a-half-ID1miMzZ.html#82a4aaf807,https://apollo-singapore.akamaized.net/v1/files/c7b51n4ic0512-IN/image;s=144x108;in_;slot=1;filename=c7b51n4ic0512-IN_.jpg
