product_name,price,source,product_url,image_url
HP laptop new,Rs. 15500,olx.in,https://www.olx.in/item/hp-laptop-new-ID1mjzyT.html#f6b2f31985,https://apollo-singapore.akamaized.net/v1/files/kdrwe1bqewaj-IN/image;s=144x108;in_;slot=1;filename=kdrwe1bqewaj-IN_.jpg
Black And Gray HP Laptop,Rs. 30000,olx.in,https://www.olx.in/item/black-and-gray-hp-laptop-ID1mjzsW.html#f6b2f31985,https://apollo-singapore.akamaized.net/v1/files/7fox2oukwt2e3-IN/image;s=144x108;in_;slot=1;filename=7fox2oukwt2e3-IN_.jpg
"Crt monitor ,hp CPU with keyboard and mouse",Rs. 4000,olx.in,https://www.olx.in/item/crt-monitor-hp-cpu-with-keyboard-and-mouse-ID1mjzjb.html#f6b2f31985,https://apollo-singapore.akamaized.net/v1/files/kh13fzpn7v6t-IN/image;s=144x108;in_;slot=1;filename=kh13fzpn7v6t-IN_.jpg
Hp Elitebook 8460p Core I5. 4gb Ram 500gb Hard,Rs. 16500,olx.in,https://www.olx.in/item/hp-elitebook-8460p-core-i5-4gb-ram-500gb-hard-ID1m7jFJ.html#f6b2f31985,https://apollo-singapore.akamaized.net/v1/files/fbypf2ksh3l32-IN/image;s=144x108;in_;slot=1;filename=fbypf2ksh3l32-IN_.jpg
Hp Deskjet Ink Advantage 2135 Printer In Best,Rs. 3000,olx.in,https://www.olx.in/item/hp-deskjet-ink-advantage-2135-printer-in-best-ID1mjyRt.html#f6b2f31985,https://apollo-singapore.akamaized.net/v1/files/6s20q60seez91-IN/image;s=144x108;in_;slot=1;filename=6s20q60seez91-IN_.jpg
HP USB Thumb Drive,Rs. 450,olx.in,https://www.olx.in/item/hp-usb-thumb-drive-ID1mjyOw.html#f6b2f31985,https://apollo-singapore.akamaized.net/v1/files/8zru15g0hz881-IN/image;s=144x108;in_;slot=1;filename=8zru15g0hz881-IN_.jpg
HP And DELL laptop at lower rates,Rs. 16500,olx.in,https://www.olx.in/item/hp-and-dell-laptop-at-lower-rates-ID1eOqx5.html#f6b2f31985,https://apollo-singapore.akamaized.net/v1/files/wilx4sjs8qtf3-IN/image;s=144x108;in_;slot=1;filename=wilx4sjs8qtf3-IN_.jpg
hp probook 6460 i5 2nd gen 4gb ram 250 gb hdd,Rs. 12000,olx.in,https://www.olx.in/item/hp-probook-6460-i5-2nd-gen-4gb-ram-250-gb-hdd-ID1mjyzj.html#f6b2f31985,https://apollo-singapore.akamaized.net/v1/files/sj3kbdz7cqyc1-IN/image;s=144x108;in_;slot=1;filename=sj3kbdz7cqyc1-IN_.jpg
HP scanner allin one print scan email USED and replenished,Rs. 1799,olx.in,https://www.olx.in/item/hp-scanner-allin-one-print-scan-email-used-and-replenished-ID1mjyvJ.html#f6b2f31985,https://apollo-singapore.akamaized.net/v1/files/yz5xyhkeq8ky2-IN/image;s=144x108;in_;slot=1;filename=yz5xyhkeq8ky2-IN_.jpg
1year HP model 840 ram 4gb Intel i5,Rs. 20000,olx.in,https://www.olx.in/item/1year-hp-model-840-ram-4gb-intel-i5-ID1lRHMN.html#f6b2f31985,https://apollo-singapore.akamaized.net/v1/files/7wvdz9bnxg372-IN/image;s=144x108;in_;slot=1;filename=7wvdz9bnxg372-IN_.jpg
